AGE;;
59;;
48;;
72;;
24;;Attribute Information:
50;;AGE, age in years
23;;
36;;
66;;
60;;
29;;
22;;
56;;
53;;
50;;
61;;
34;;
47;;
68;;
38;;
41;;
35;;
25;;
25;;
61;;
31;;
30;;
19;;
42;;
63;;
67;;
32;;
42;;
58;;
57;;
53;;
62;;
52;;
46;;
48;;
48;;
50;;
21;;
32;;
54;;
61;;
56;;
33;;
27;;
67;;
37;;
58;;
65;;
34;;
46;;
35;;
37;;
37;;
41;;
60;;
66;;
29;;
37;;
41;;
39;;
67;;
36;;
46;;
60;;
59;;
53;;
48;;
48;;
66;;
52;;
52;;
46;;
40;;
22;;
50;;
20;;
68;;
52;;
44;;
38;;
49;;
61;;
29;;
61;;
34;;
36;;
52;;
61;;
43;;
35;;
27;;
29;;
64;;
41;;
49;;
48;;
